clubID,stats_club
barcelona,barcelona
bordortmund,dortmund
southampton,southampton
realmadrid,realmadrid
monaco,monaco
tottenham,tottenham
juventus,juventus
asroma,roma
olympiquelyon,lyon
benfica,benfica
liverpool,liverpool
everton,everton
arsenal,arsenal
athletic,wiganathletic
chelsea,chelsea
swansea,swanseacity
ajax,ajax
gzevergrande,
fiorentina,fiorentina
fcporto,porto
leicester,leicestercity
sevillafc,lafc
realsociedad,realsociedad
lazio,lazio
parissg,parissg
sunderland,sunderland
mancity,
inter,inter
manutd,
sampdoria,sampdoria
atalantabc,atalanta
bayernmunich,bayernmunich
burnley,burnley
dynamokyiv,
rscanderlecht,anderlecht
sportingcp,sportingcp
atleticomadrid,atleticomadrid
westham,westham
torino,torino
tsghoffenheim,hoffenheim
bleverkusen,leverkusen
besiktas,besiktas
stokecity,stokecity
bocajuniors,bocajuniors
mancityu18,
angerssco,angers
fcbasel,basel
ogcnice,nice
genoa,genoa
scfreiburg,freiburg
valencia,valencia
riverplate,riverplate
villarreal,villarreal
newcastle,newcastleutd
acmilan,milan
fcmetz,metz
psveindhoven,psveindhoven
middlesbrough,middlesbrough
leeds,leedsunited
feyenoord,feyenoord
fcschalke04,schalke04
olympiacos,pacos
1fsvmainz05,mainz05
herthabsc,herthabsc
vflwolfsburg,wolfsburg
realbetis,betis
hullcity,hullcity
galatasaray,galatasaray
rbleipzig,rbleipzig
bormgladbach,gladbach
werderbremen,werderbremen
basaksehir,basaksehir
montpellier,montpellier
clubbrugge,clubbrugge
santos,santos
dinamozagreb,
fenerbahce,fenerbahce
rmcastilla,
fluminense,fluminense
vascodagama,vascodagama
chievoverona,chievo
udlaspalmas,spal
palmeiras,palmeiras
norwich,norwichcity
bscyoungboys,youngboys
malagacf,malaga
gbordeaux,bordeaux
losclille,lille
kvoostende,oostende
sassuolo,sassuolo
corinthians,corinthians
napoli,napoli
estudianteslp,estudiantes
saopaulo,saopaulo
staderennais,
sdeibar,eibar
celtadevigo,celtavigo
ludogorets,
hajduksplit,
preston,preston
dijon,dijon
derby,derbycounty
astonvilla,astonvilla
rubinkazan,rubinkazan
tigresuanl,tigre
cagliaricalcio,cagliari
saintetienne,saintetienne
vitesse,vitesse
fcnantes,nantes
rbsalzburg,rbsalzburg
fcutrecht,utrecht
kaseupen,eupen
zultewaregem,zultewaregem
lehavreac,lehavre
crystalpalace,crystalpalace
maldonado,
scbraga,braga
udinesecalcio,udinese
sportinggijon,sportinggijon
levante,levante
asnancy,nancy
marseille,marseille
caosasuna,osasuna
fcempoli,empoli
zenitspb,zenit
bournemouth,bournemouth
lechpoznan,lechpoznan
fccopenhagen,fccopenhagen
krcgenk,genk
fcsion,sion
smcaen,caen
standardliege,standardliege
partizan,
hamburgersv,hamburgersv
konyaspor,konyaspor
atleticopr,atleticomineiro
nordsjaelland,nordsjlland
rcharleroisc,charleroi
huddersfield,huddersfield
internacional,internacional
alahly,alahli
watford,watford
chelseau23,chelsea
tianjinjmtres,
banfield,banfield
fdusseldorf,dusseldorf
kaagent,gent
fcingolstadt,ingolstadt04
efrankfurt,eintfrankfurt
uspalermo,spal
pescara,pescara
defensorsc,
newyorkcity,
vitguimaraes,
austriavienna,austria
krasnodar,krasnodar
fcaugsburg,augsburg
osmanlisporfk,osmanlspor
jssuning,
alaves,alaves
ifkgoteborg,goteborg
1fcklautern,
lens,lens
fulham,fulham
liaoningfc,
espanyol,espanyol
deplacoruna,lacoruna
brescia,brescia
belenenses,belenenses
hellasverona,hellasverona
chivas,
argentinosjrs,gent
bragau19,braga
vfbstuttgart,stuttgart
barcau19,
rcdmallorca,mallorca
spartar,spartakmoscow
slaviaprague,slaviaprague
spartaprague,spartaprague
halmstadsbk,halmstad
alrayyan,
fcastana,
moreirense,moreirense
alittihad,alittihad
exetercity,
