clubID,fifa_club
barcelona,fcbarcelona
bordortmund,borussiadortmund
southampton,southampton
realmadrid,realmadrid
monaco,monaco
tottenham,tottenhamhotspur
juventus,juventus
asroma,roma
olympiquelyon,olympiquelyonnais
benfica,benfica
liverpool,liverpool
everton,everton
arsenal,arsenal
athletic,wiganathletic
chelsea,chelsea
swansea,swanseacity
ajax,ajax
gzevergrande,guangzhouevergrande
fiorentina,fiorentina
fcporto,porto
leicester,leicestercity
sevillafc,sevilla
realsociedad,realsociedad
lazio,lazio
parissg,paris
sunderland,sunderland
mancity,
inter,inter
manutd,
sampdoria,sampdoria
atalantabc,atalanta
bayernmunich,fcbayernmunchen
burnley,burnley
dynamokyiv,dynamokyiv
rscanderlecht,anderlecht
sportingcp,sportingcp
atleticomadrid,atleticomadrid
westham,westhamunited
torino,torino
tsghoffenheim,tsghoffenheim
bleverkusen,bayer04leverkusen
besiktas,besiktas
stokecity,stokecity
bocajuniors,bocajuniors
mancityu18,
angerssco,angerssco
fcbasel,basel
ogcnice,nice
genoa,genoa
scfreiburg,scfreiburg
valencia,valencia
riverplate,riverplate
villarreal,villarreal
newcastle,newcastleunited
acmilan,milan
fcmetz,metz
psveindhoven,psv
middlesbrough,middlesbrough
leeds,leedsunited
feyenoord,feyenoord
fcschalke04,schalke04
olympiacos,olympiakospiraeus
1fsvmainz05,fsvmainz05
herthabsc,herthabsc
vflwolfsburg,vflwolfsburg
realbetis,realbetis
hullcity,hullcity
galatasaray,galatasaray
rbleipzig,rbleipzig
bormgladbach,
werderbremen,werderbremen
basaksehir,istanbulbasaksehir
montpellier,montpellier
clubbrugge,clubbrugge
santos,santos
dinamozagreb,dinamozagreb
fenerbahce,fenerbahce
rmcastilla,
fluminense,fluminense
vascodagama,vascodagama
chievoverona,chievo
udlaspalmas,spal
palmeiras,palmeiras
norwich,norwichcity
bscyoungboys,youngboys
malagacf,malaga
gbordeaux,bordeaux
losclille,lille
kvoostende,kvoostende
sassuolo,sassuolo
corinthians,corinthians
napoli,napoli
estudianteslp,estudiantes
saopaulo,saopaulo
staderennais,
sdeibar,sdeibar
celtadevigo,celtadevigo
ludogorets,
hajduksplit,hajduksplit
preston,prestonnorthend
dijon,dijon
derby,derbycounty
astonvilla,astonvilla
rubinkazan,
tigresuanl,tigresuanl
cagliaricalcio,cagliari
saintetienne,saintetienne
vitesse,vitesse
fcnantes,nan
rbsalzburg,salzburg
fcutrecht,fcutrecht
kaseupen,aseupen
zultewaregem,zultewaregem
lehavreac,lehavre
crystalpalace,crystalpalace
maldonado,
scbraga,
udinesecalcio,udinese
sportinggijon,sportinggijon
levante,levante
asnancy,nan
marseille,olympiquedemarseille
caosasuna,osasuna
fcempoli,empoli
zenitspb,
bournemouth,afcbournemouth
lechpoznan,lechpoznan
fccopenhagen,
krcgenk,genk
fcsion,sion
smcaen,caen
standardliege,standardliege
partizan,
hamburgersv,hamburgersv
konyaspor,konyaspor
atleticopr,atleticograu
nordsjaelland,nordsjlland
rcharleroisc,
huddersfield,huddersfieldtown
internacional,internacional
alahly,alahlijeddah
watford,watford
chelseau23,chelsea
tianjinjmtres,
banfield,banfield
fdusseldorf,fortunadusseldorf
kaagent,gent
fcingolstadt,ingolstadt
efrankfurt,eintrachtfrankfurt
uspalermo,spal
pescara,pescara
defensorsc,
newyorkcity,newyorkcity
vitguimaraes,
austriavienna,austriawien
krasnodar,
fcaugsburg,fcaugsburg
osmanlisporfk,
jssuning,
alaves,deportivoalaves
ifkgoteborg,ifkgoteborg
1fcklautern,
lens,lens
fulham,fulham
liaoningfc,
espanyol,espanyol
deplacoruna,deportivodelacoruna
brescia,brescia
belenenses,belenenses
hellasverona,hellasverona
chivas,
argentinosjrs,gent
bragau19,
vfbstuttgart,vfbstuttgart
barcau19,
rcdmallorca,mallorca
spartar,spartarotterdam
slaviaprague,
spartaprague,
halmstadsbk,halmstad
alrayyan,
fcastana,
moreirense,moreirense
alittihad,alittihad
exetercity,exetercity
heraclesalmelo,heraclesalmelo
perugia,perugia
zaglebielubin,zagebielubin
redstar,redstarfc
penarol,penarol
lechiagdansk,lechiagdansk
estorilpraia,estoril
luqueno,sportivoluqueno
fclorient,lorient
