ID,stats_name
neymar,neymar
ousmanedembele,ousmanedembele
virgilvandijk,virgilvandijk
alvaromorata,alvaromorata
pierreemerickaubameyang,pierreemerickaubameyang
benjaminmendy,benjaminmendy
kylewalker,kylewalker
jamesrodriguez,jamesrodriguez
leonardobonucci,leonardobonucci
mohamedsalah,mohamedsalah
corentintolisso,corentintolisso
ederson,ederson
tiemouebakayoko,tiemouebakayoko
philippecoutinho,philippecoutinho
romelulukaku,romelulukaku
alexissanchez,alexissanchez
aymericlaporte,aymericlaporte
diegocosta,diegocosta
alexandrelacazette,alexandrelacazette
bernardosilva,bernardosilva
gylfisigurdsson,gylfisigursson
nemanjamatic,nemanjamatic
davinsonsanchez,davinsonsanchez
paulinho,paulinho
federicobernardeschi,federicobernardeschi
andresilva,andresilva
dannydrinkwater,dannydrinkwater
vitolo,vitolo
victorlindelof,victorlindelof
kylianmbappe,kylianmbappe
inigomartinez,inigomartinez
keitabalde,keitabalde
blaisematuidi,blaisematuidi
jordanpickford,jordanpickford
lucasmoura,lucasmoura
kelechiiheanacho,kelechiiheanacho
joaomario,joaomario
alexoxladechamberlain,alexoxladechamberlain
nelsonsemedo,nelsonsemedo
antoniorudiger,antoniorudiger
henrikhmkhitaryan,henrikhmkhitaryan
milanskriniar,milanskriniar
alessandrobastoni,alessandrobastoni
danilo,danilo
douglascosta,douglascosta
michaelkeane,michaelkeane
mamadousakho,mamadousakho
davyklaassen,davyklaassen
andriyyarmolenko,andriyyarmolenko
youritielemans,youritielemans
adriensilva,adriensilva
juancuadrado,juancuadrado
michybatshuayi,michybatshuayi
grzegorzkrychowiak,grzegorzkrychowiak
andreaconti,andreaconti
theohernandez,theohernandez
andreayew,andreayew
theowalcott,theowalcott
guidocarrillo,guidocarrillo
islamslimani,islamslimani
sergeaurier,sergeaurier
davidezappacosta,davidezappacosta
niklassule,niklassule
rossbarkley,rossbarkley
luismuriel,luismuriel
matiasvecino,matiasvecino
hakancalhanoglu,hakancalhanoglu
nathanake,nathanake
cenktosun,cenktosun
markoarnautovic,markoarnautovic
renatosanches,renatosanches
rodrigobentancur,rodrigobentancur
kingsleycoman,kingsleycoman
nikolamaksimovic,nikolamaksimovic
jadonsancho,jadonsancho
andregray,andregray
emerson,emerson
kevinkampl,kevinkampl
oliviergiroud,oliviergiroud
nikolakalinic,nikolakalinic
franckkessie,franckkessie
kevinwimmer,kevinwimmer
nabilbentaleb,nabilbentaleb
nicolaspepe,nicolaspepe
manuelakanji,manuelakanji
dalbert,dalberto
pietropellegri,pietropellegri
robertogagliardini,robertogagliardini
maximilianphilipp,maximilianphilipp
