ID,fifa_name
neymar,neymardasilvasantosjunior
ousmanedembele,ousmanedembele
virgilvandijk,virgilvandijk
alvaromorata,
pierreemerickaubameyang,
benjaminmendy,benjaminmendy
kylewalker,kylewalker
jamesrodriguez,jayrodriguez
leonardobonucci,leonardobonucci
mohamedsalah,mohammedsalah
corentintolisso,corentintolisso
ederson,edersonsantanademoraes
tiemouebakayoko,tiemouebakayoko
philippecoutinho,philippecoutinhocorreia
romelulukaku,romelulukakumenama
alexissanchez,eryinalexissanhuezamora
aymericlaporte,aymericlaporte
diegocosta,diegososa
alexandrelacazette,alexandrelacazette
bernardosilva,bernardosilvaconceicao
gylfisigurdsson,gylfiorsigursson
nemanjamatic,nemanjamatic
davinsonsanchez,davinsonsanchezmina
paulinho,mariojorgemalicopaulino
federicobernardeschi,federicobernardeschi
andresilva,marceloandressilvafernandez
dannydrinkwater,danielnoeldrinkwater
vitolo,gladwinshitolo
victorlindelof,
kylianmbappe,kylianmbappelottin
inigomartinez,inigomartinezberridi
keitabalde,keitabaldediao
blaisematuidi,blaisematuidi
jordanpickford,jordanpickford
lucasmoura,lucamora
kelechiiheanacho,kelechipromiseiheanacho
joaomario,joaomarionavaldacostaeduardo
alexoxladechamberlain,alexoxladechamberlain
nelsonsemedo,nelsoncabralsemedo
antoniorudiger,antoniorudiger
henrikhmkhitaryan,henrikhmkhitaryan
milanskriniar,milanskriniar
alessandrobastoni,alessandrobastoni
danilo,elieserdanilobaldeirolopes
douglascosta,douglascostadesouza
michaelkeane,michaelkeane
mamadousakho,mamadousakho
davyklaassen,davyklaassen
andriyyarmolenko,andriyyarmolenko
youritielemans,youritielemans
adriensilva,adrieldasilva
juancuadrado,
michybatshuayi,michybatshuayitunga
grzegorzkrychowiak,grzegorzkrychowiak
andreaconti,andreaconti
theohernandez,mateohernandez
andreayew,
theowalcott,theowalcott
guidocarrillo,
islamslimani,islamslimani
sergeaurier,
davidezappacosta,davidezappacosta
niklassule,niklassule
rossbarkley,rossbarkley
luismuriel,
matiasvecino,matiasvecinofalero
hakancalhanoglu,hakancalhanoglu
nathanake,nathanake
cenktosun,cenktosun
markoarnautovic,markoarnautovic
renatosanches,
