Saison,Spieler,Position,Alter,Marktwert,Nationalität,Abgebender Verein,Abgebende Liga,Aufnehmender Verein,Aufnehmende Liga,Ablöse
17,Neymar,Left Winger,25,100.0,Brazil,Barcelona,LaLiga,Paris SG,Ligue 1,€222.00m
17,Ousmane Dembélé,Right Winger,20,33.0,France,Bor. Dortmund,Bundesliga,Barcelona,LaLiga,€135.00m
17,Virgil van Dijk,Centre-Back,26,30.0,Netherlands,Southampton,Premier League,Liverpool,Premier League,€84.65m
17,Álvaro Morata,Centre-Forward,24,40.0,Spain,Real Madrid,LaLiga,Chelsea,Premier League,€66.00m
17,Pierre-Emerick Aubameyang,Centre-Forward,28,65.0,Gabon,Bor. Dortmund,Bundesliga,Arsenal,Premier League,€63.75m
17,Benjamin Mendy,Left-Back,23,13.0,France,Monaco,Ligue 1,Man City,Premier League,€57.50m
17,Kyle Walker,Right-Back,27,30.0,England,Tottenham,Premier League,Man City,Premier League,€52.70m
17,James Rodríguez,Attacking Midfield,26,50.0,Colombia,Real Madrid,LaLiga,Bayern Munich,Bundesliga,Loan fee:€13.00m
17,Leonardo Bonucci,Centre-Back,30,45.0,Italy,Juventus,Serie A,AC Milan,Serie A,€42.00m
17,Mohamed Salah,Right Winger,25,35.0,Egypt,AS Roma,Serie A,Liverpool,Premier League,€42.00m
17,Corentin Tolisso,Central Midfield,22,22.0,France,Olympique Lyon,Ligue 1,Bayern Munich,Bundesliga,€41.50m
17,Ederson,Goalkeeper,23,22.0,Brazil,Benfica,Liga NOS,Man City,Premier League,€40.00m
17,Tiemoué Bakayoko,Defensive Midfield,22,16.0,France,Monaco,Ligue 1,Chelsea,Premier League,€40.00m
17,Philippe Coutinho,Attacking Midfield,25,90.0,Brazil,Liverpool,Premier League,Barcelona,LaLiga,€135.00m
17,Romelu Lukaku,Centre-Forward,24,50.0,Belgium,Everton,Premier League,Man Utd,Premier League,€84.70m
17,Alexis Sánchez,Centre-Forward,29,70.0,Chile,Arsenal,Premier League,Man Utd,Premier League,€34.00m
17,Aymeric Laporte,Centre-Back,23,25.0,Spain,Athletic,LaLiga,Man City,Premier League,€65.00m
17,Diego Costa,Centre-Forward,29,50.0,Spain,Chelsea,Premier League,Atlético Madrid,LaLiga,€60.00m
17,Alexandre Lacazette,Centre-Forward,26,40.0,France,Olympique Lyon,Ligue 1,Arsenal,Premier League,€53.00m
17,Bernardo Silva,Attacking Midfield,22,40.0,Portugal,Monaco,Ligue 1,Man City,Premier League,€50.00m
17,Gylfi Sigurdsson,Attacking Midfield,27,25.0,Iceland,Swansea,Premier League,Everton,Premier League,€49.40m
17,Nemanja Matic,Defensive Midfield,28,35.0,Serbia,Chelsea,Premier League,Man Utd,Premier League,€44.70m
17,Davinson Sánchez,Centre-Back,21,25.0,Colombia,Ajax,Eredivisie,Tottenham,Premier League,€42.00m
17,Paulinho,Central Midfield,29,15.0,Brazil,GZ Evergrande,Super League,Barcelona,LaLiga,€40.00m
17,Federico Bernardeschi,Right Winger,23,30.0,Italy,Fiorentina,Serie A,Juventus,Serie A,€40.00m
17,Cédric Bakambu,Centre-Forward,26,25.0,DR Congo,Villarreal,LaLiga,BJ Guoan,Super League,€40.00m
17,André Silva,Centre-Forward,21,22.0,Portugal,FC Porto,Liga NOS,AC Milan,Serie A,€38.00m
17,Danny Drinkwater,Central Midfield,27,9.0,England,Leicester,Premier League,Chelsea,Premier League,€37.90m
17,Vitolo,Left Winger,27,25.0,Spain,Sevilla FC,LaLiga,Atlético Madrid,LaLiga,€35.60m
17,Victor Lindelöf,Centre-Back,22,22.0,Sweden,Benfica,Liga NOS,Man Utd,Premier League,€35.00m
17,Kylian Mbappé,Centre-Forward,18,35.0,France,Monaco,Ligue 1,Paris SG,Ligue 1,loan transfer
17,Iñigo Martínez,Centre-Back,26,25.0,Spain,Real Sociedad,LaLiga,Athletic,LaLiga,€32.00m
17,Keita Baldé,Left Winger,22,25.0,Senegal,Lazio,Serie A,Monaco,Ligue 1,€30.00m
17,Blaise Matuidi,Central Midfield,30,30.0,France,Paris SG,Ligue 1,Juventus,Serie A,€25.00m
17,Jordan Pickford,Goalkeeper,23,15.0,England,Sunderland,Championship,Everton,Premier League,€28.50m
17,Lucas Moura,Right Winger,25,28.0,Brazil,Paris SG,Ligue 1,Tottenham,Premier League,€28.40m
17,Kelechi Iheanacho,Centre-Forward,20,15.0,Nigeria,Man City,Premier League,Leicester,Premier League,€27.70m
17,João Mário,Central Midfield,25,26.0,Portugal,Inter,Serie A,West Ham,Premier League,Loan fee:€1.20m
17,Yannick Carrasco,Left Winger,24,40.0,Belgium,Atlético Madrid,LaLiga,DL Yifang,Super League,€30.00m
17,Alex Oxlade-Chamberlain,Central Midfield,24,22.0,England,Arsenal,Premier League,Liverpool,Premier League,€38.00m
17,Nélson Semedo,Right-Back,23,20.0,Portugal,Benfica,Liga NOS,Barcelona,LaLiga,€35.70m
17,Antonio Rüdiger,Centre-Back,24,25.0,Germany,AS Roma,Serie A,Chelsea,Premier League,€35.00m
17,Henrikh Mkhitaryan,Central Midfield,29,35.0,Armenia,Man Utd,Premier League,Arsenal,Premier League,€34.00m
17,Milan Skriniar,Centre-Back,22,7.0,Slovakia,Sampdoria,Serie A,Inter,Serie A,€34.00m
17,Alessandro Bastoni,Centre-Back,18,1.5,Italy,Atalanta BC,Serie A,Inter,Serie A,€31.10m
17,Danilo,Centre-Back,26,16.0,Brazil,Real Madrid,LaLiga,Man City,Premier League,€30.00m
17,Douglas Costa,Right Winger,26,30.0,Brazil,Bayern Munich,Bundesliga,Juventus,Serie A,Loan fee:€6.00m
17,Michael Keane,Centre-Back,24,18.0,England,Burnley,Premier League,Everton,Premier League,€28.50m
17,Mamadou Sakho,Centre-Back,27,15.0,France,Liverpool,Premier League,Crystal Palace,Premier League,€28.20m
17,Davy Klaassen,Central Midfield,24,18.0,Netherlands,Ajax,Eredivisie,Everton,Premier League,€27.00m
17,Andriy Yarmolenko,Right Winger,27,18.0,Ukraine,Dynamo Kyiv,Premier Liga,Bor. Dortmund,Bundesliga,€25.00m
17,Youri Tielemans,Central Midfield,20,22.0,Belgium,RSC Anderlecht,JPL,Monaco,Ligue 1,€25.00m
17,Adrien Silva,Central Midfield,28,25.0,Portugal,Sporting CP,Liga NOS,Leicester,Premier League,€20.50m
17,Juan Cuadrado,Right Midfield,29,25.0,Colombia,Chelsea,Premier League,Juventus,Serie A,€20.00m
17,Michy Batshuayi,Centre-Forward,24,25.0,Belgium,Chelsea,Premier League,Bor. Dortmund,Bundesliga,Loan fee:€1.50m
17,Grzegorz Krychowiak,Defensive Midfield,27,25.0,Poland,Paris SG,Ligue 1,West Brom,Premier League,loan transfer
