Saison,Spieler,Position,Alter,Marktwert,Nationalität,Abgebender Verein,Abgebende Liga,Aufnehmender Verein,Aufnehmende Liga,Minuten,Tore,Vorlagen,Gelbe Karten,Rote Karten,Expected Goals,Expected Assists,Erfolgreiche Dribblings,Erfolgreiche Pässe,Potential,Größe,Gewicht,Starker Fuß,Beidfüßigkeit,Skill-Moves,Internationaler Ruf,Arbeitsrate,Schnelligkeit,Schießen,Passen,Dribbling,Verteidigung,Physis,xGoalDiff
18,Kylian Mbappé,Centre-Forward,19,120.0,France,Monaco,Ligue 1,Paris SG,Ligue 1,74.0,0.0,0.0,0.0,0.0,0.2,0.0,6.0,3.0,95,178,73,Right,4,5,3,High/Medium,96.0,81.0,79.0,89.0,39.0,72.0,-0.2
18,Riyad Mahrez,Right Winger,27,50.0,Algeria,Leicester,Premier League,Man City,Premier League,2950.0,12.0,10.0,2.0,0.0,6.5,7.2,121.0,190.0,85,179,67,Left,4,5,3,Medium/Medium,85.0,79.0,81.0,90.0,37.0,59.0,5.5
18,Thibaut Courtois,Goalkeeper,26,65.0,Belgium,Chelsea,Premier League,Real Madrid,LaLiga,3150.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,91,199,96,Left,3,1,4,Medium/Medium,,,,,,,0.0
18,Alisson,Goalkeeper,25,60.0,Brazil,AS Roma,Serie A,Liverpool,Premier League,3330.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,90,191,91,Right,3,1,3,Medium/Medium,,,,,,,0.0
18,Gonzalo Higuaín,Centre-Forward,30,55.0,Argentina,Juventus,Serie A,AC Milan,Serie A,2815.0,16.0,5.0,4.0,0.0,11.8,3.4,68.0,62.0,88,186,89,Right,4,3,4,High/Medium,73.0,87.0,70.0,83.0,31.0,74.0,4.199999999999999
18,Gonzalo Higuaín,Centre-Forward,31,50.0,Argentina,Juventus,Serie A,Chelsea,Premier League,2815.0,16.0,5.0,4.0,0.0,11.8,3.4,68.0,62.0,88,186,89,Right,4,3,4,High/Medium,73.0,87.0,70.0,83.0,31.0,74.0,4.199999999999999
18,Fabinho,Defensive Midfield,24,45.0,Brazil,Monaco,Ligue 1,Liverpool,Premier League,3060.0,7.0,3.0,8.0,0.0,5.8,4.2,64.0,261.0,89,188,78,Right,2,3,3,Medium/Medium,71.0,69.0,78.0,77.0,84.0,84.0,1.2000000000000002
18,Malcom,Right Winger,21,45.0,Brazil,G. Bordeaux,Ligue 1,Barcelona,LaLiga,2856.0,12.0,7.0,2.0,0.0,8.4,8.7,153.0,169.0,90,172,74,Left,4,4,2,Medium/Medium,84.0,79.0,81.0,85.0,27.0,64.0,3.5999999999999996
18,João Cancelo,Right-Back,24,35.0,Portugal,Valencia,LaLiga,Juventus,Serie A,90.0,0.0,0.0,0.0,0.0,0.3,0.4,12.0,6.0,87,182,74,Right,3,4,2,High/Medium,88.0,64.0,77.0,81.0,77.0,71.0,-0.3
18,Gonçalo Guedes,Left Winger,21,40.0,Portugal,Paris SG,Ligue 1,Valencia,LaLiga,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,86,179,68,Right,3,4,1,High/Low,88.0,79.0,76.0,83.0,36.0,68.0,0.0
